County,HighSchoolGrad,BachelorsDegree,UnemploymentRate,PercentUrban,PerCapitaIncome,PercentPoverty,CountyPopulation, PopulationDensityPerSqMile,Region,RaceWhite,RaceNotWhite
Anderson,80.2,11.8,3.6,32.94,34242,19.8,58057,55.01,East Texas,75.11,24.89
Andrews,73.8,10.6,3.1,83.5,50011,10.7,18128,9.85,West Texas,94.22,5.78
Angelina,79.9,15.7,5.1,56.92,38897,17.9,87092,108.77,East Texas,81.27,18.73
Aransas,83.2,20.2,6.8,72.74,48389,19.9,23792,91.87,South Texas,93.05,6.95
Archer,90.1,21.8,3.4,11.01,50310,10.6,8786,10.03,North Texas,95.58,4.42
Armstrong,89.8,23.1,2.5,0,47995,10.7,1892,2.09,Panhandle,96.43,3.57
Atascosa,75.3,14.3,4.2,39.29,36660,15.7,50310,36.83,South Texas,95.65,4.35
Austin,82.4,21,4.3,33.66,50702,10.2,29989,43.95,Upper Gulf Coast,87.51,12.49
Bailey,67.6,10.7,4.3,71.25,42507,15.8,7027,8.67,West Texas,92.54,7.46
Bandera,86.8,24,3.6,0,43459,13.4,22824,25.9,South Texas,95.51,4.49
Bastrop,80.6,18.4,3.5,36.15,36561,12.6,86976,83.51,Central Texas,87.28,12.72
Baylor,86.9,26.6,3.4,0,41704,16.1,3582,4.3,North Texas,93.88,6.12
Bee,71.4,8.9,6.4,57.02,28457,26.7,32587,36.2,South Texas,88.3,11.7
Bell,90.3,23.2,4.2,84.81,42773,13,355642,295.18,Central Texas,66.11,33.89
Bexar,83.4,26.9,3.5,95.46,46058,17.2,1986049,1383.08,South Texas,84.59,15.41
Blanco,89.9,28.8,2.7,0,51968,10.1,11702,14.8,Central Texas,94.56,5.44
Borden,93.3,36.5,3.5,0,63756,10,648,0.71,West Texas,95.1,4.9
Bosque,82.3,17.7,4,18.78,41592,14.9,18691,18.53,Central Texas,94.84,5.16
Bowie,87.5,18.8,4.5,64.58,40010,19.1,94324,104.59,East Texas,70.21,29.79
Brazoria,86.7,28.7,5.3,77.47,47239,10.1,370200,230.66,Upper Gulf Coast,76.04,23.96
Brazos,85.6,39.8,3.1,87.94,39216,23.2,226758,332.83,Central Texas,79.92,20.08
Brewster,86.4,36,3.5,65.13,45652,16,9267,1.49,West Texas,93.09,6.91
Briscoe,77.5,23,4.3,0,35243,16.2,1516,1.82,Panhandle,93.46,6.54
Brooks,70.4,14.6,8.2,68.24,33861,31,7114,7.66,South Texas,95.44,4.56
Brown,85.1,18.5,3.8,59.6,38830,13.2,37924,40.35,West Texas,92.62,7.38
Burleson,80.4,14.8,4.1,23.34,42629,14.8,18389,26.08,Central Texas,84.08,15.92
Burnet,86.1,23,3.2,44.33,46516,11,47542,43,Central Texas,94.55,5.45
Caldwell,79.1,14.7,3.9,57.71,33668,14.1,43247,69.81,Central Texas,88.97,11.03
Calhoun,80.5,15.4,5.8,55.27,38668,14.2,21561,42.18,South Texas,89.51,10.49
Callahan,88,14.7,3.7,27.82,39392,12,13994,15.06,West Texas,94.92,5.08
Cameron,65.6,16.8,6.9,91.58,28756,27.9,423908,455.95,South Texas,97.13,2.87
Camp,81.2,15,5.6,38.52,38660,18.8,13033,63.33,East Texas,78.74,21.26
Carson,92.2,26.4,3.2,4.8,46373,8.9,6005,6.72,Panhandle,95.09,4.91
Cass,85.9,14.4,6,25.99,36905,20.4,30119,32.51,East Texas,80.36,19.64
Castro,70.5,13.1,3.3,54.24,42786,17.5,7665,9.01,Panhandle,93.96,6.04
Chambers,83.8,21.1,6.5,54.28,53673,8.5,42454,58.77,Upper Gulf Coast,87.56,12.44
Cherokee,79.6,17.4,4.5,36.95,34468,17.4,52592,48.29,East Texas,81.29,18.71
Childress,85.3,15.6,3,66.85,30084,21.2,7291,10.11,Panhandle,86.73,13.27
Clay,89.3,16.3,3.6,25.4,42335,10.9,10456,9.88,North Texas,95,5
Cochran,70,9.5,4.6,0,38312,21.9,2836,4.03,West Texas,91.13,8.87
Coke,85.3,20.5,3.7,0,41895,14.1,3370,3.64,West Texas,94.77,5.23
Coleman,82.6,14.2,4.4,48.45,40669,19.3,8397,7.05,West Texas,92.43,7.57
Collin,93.6,50.2,3.4,94.76,65874,6.4,1005146,930,North Texas,71.31,28.69
Collingsworth,77,17,3.6,0,33039,17.3,2962,3.33,Panhandle,88.48,11.52
Colorado,81.8,18.4,3.8,37.39,46821,13.7,21217,21.74,Upper Gulf Coast,83.68,16.32
Comal,91.5,34.5,3.4,53.85,58067,7.1,148373,193.88,South Texas,93.64,6.36
Comanche,79.9,17,3.7,28.54,42465,16.4,13534,14.9,West Texas,95.76,4.24
Concho,61.4,11.5,4.2,0,19801,26.6,4276,4.15,West Texas,95.03,4.97
Cooke,86.1,21.6,3.6,40.97,54174,14.8,40574,43.94,North Texas,92.12,7.88
Coryell,87.6,15.1,4.3,80.58,33996,15,74808,71.66,Central Texas,73.76,26.24
Cottle,72.2,16.2,4.3,0,57288,21.2,1389,1.67,North Texas,87.45,12.55
Crane,72.8,12.9,5.3,89.3,47758,10.1,4794,5.57,West Texas,91.98,8.02
Crockett,73.7,11,4.1,77.25,41472,15.3,3499,1.32,West Texas,94,6
Crosby,72.3,12.1,4.1,0,30773,23.7,5779,6.73,West Texas,93.02,6.98
Culberson,64.9,7.7,3.6,0,54180,20.3,2204,0.63,West Texas,91.21,8.79
Dallam,72.7,11.8,2.1,76.46,52148,12.1,7200,4.46,Panhandle,92.79,7.21
Dallas,78,29.7,3.8,99.31,58993,14.2,2637772,2718,North Texas,66.94,33.06
Dawson,74.1,12.6,4.9,83.71,37111,22.9,12619,15.36,West Texas,89.94,10.06
Deaf Smith,71.8,14.2,3.1,82.29,40470,17.5,18760,12.94,Panhandle,94.64,5.36
Delta,86.3,18.6,3.3,0,34803,17.2,5349,20.37,East Texas,87.28,12.72
Denton,92,42.2,3.3,93.09,55933,7.3,859064,754.31,North Texas,77.17,22.83
DeWitt,79.9,14.6,4.4,50.38,54549,18.4,20187,22.11,South Texas,87.81,12.19
Dickens,78.5,14.3,4.7,0,31586,20.3,2249,2.71,West Texas,88.86,11.14
Dimmit,66.6,10.5,5.1,60.52,36639,24.6,10308,7.52,South Texas,96.11,3.89
Donley,87.3,16.5,3.6,0,45736,18.6,3319,3.97,Panhandle,91.69,8.31
Duval,67.1,8.9,7.7,32.96,36418,25.5,11212,6.57,South Texas,96.62,3.38
Eastland,82.8,14.6,4.3,39.65,71142,18.7,18322,20.06,West Texas,94.58,5.42
Ector,75.1,15.2,4.1,90.54,47271,12.9,162124,152.76,West Texas,90.52,9.48
Edwards,75.1,24,3.2,0,35182,22.1,1928,0.95,South Texas,95.34,4.66
El Paso,76.5,21.7,4.6,97.83,35856,20.5,840758,790.61,West Texas,91.98,8.02
Ellis,84.6,21.9,3.4,68.02,44313,8.8,179436,159.93,North Texas,85.53,14.47
Erath,83.9,28.2,3.4,53.68,39572,18.1,42446,34.98,North Texas,94.47,5.53
Falls,75.7,11.9,4.2,32.64,34619,21.7,17335,23.34,Central Texas,71.99,28.01
Fannin,83,15.6,3.3,29.47,37605,13.8,35286,38.07,North Texas,88.94,11.06
Fayette,81.7,17.1,3.2,32.86,53564,13.3,25349,25.85,Central Texas,90.52,9.48
Fisher,82.8,18.4,3.5,0,46444,15.5,3839,4.42,West Texas,91.8,8.2
Floyd,73.2,16.4,5.5,46.68,37367,21,5837,6.5,West Texas,91.94,8.06
Foard,80.8,16,3.4,0,42954,18,1200,1.9,North Texas,92.23,7.77
Fort Bend,89.2,44.6,4.6,94.46,57540,7.9,787858,679.5,Upper Gulf Coast,55.66,44.34
Franklin,85.5,19,4.6,30.87,39730,15.2,10766,37.29,East Texas,92.24,7.76
Freestone,81.1,11.5,6.3,33.52,37066,13.7,19808,22.58,Central Texas,79.94,20.06
Frio,62.8,7.3,3.8,77.82,27545,27.5,19816,15.19,South Texas,91.58,8.42
Gaines,60.4,10.5,3,36.96,36009,15.4,20901,11.67,West Texas,94.97,5.03
Galveston,87.6,28.9,5.2,93.85,51785,12.1,337890,769.93,Upper Gulf Coast,80.14,19.86
Garza,57,8.8,3.3,77.67,30072,24.6,6578,7.23,West Texas,89.83,10.17
Gillespie,89.3,34.1,2.6,46.35,60561,9.6,26804,23.47,South Texas,96.66,3.34
Glasscock,75.2,25.2,2.6,0,102145,9.7,1388,1.36,West Texas,97.11,2.89
Goliad,88.8,16,4.9,0,43858,14.4,7584,8.46,South Texas,92.03,7.97
Gonzales,72.5,13.7,3.5,34.72,43342,16.9,20826,18.57,South Texas,88.9,11.1
